id,nombre,provincia,localidad,barrio,ubicacion,recomendado,cerrado,categoria,momento_dia,precio,comida,lugar,atencion,nota_final,resena,visitas,distincion
11,Pizza Bocatana,Córdoba,Córdoba Capital,General Paz,"-31.417419532762338, -64.17245339461657",,,Familiar,Cena,$$$,8.5,7.5,7.5,8,"Muy buena pizza, sólida. El lugar está bueno pero adentro se hace un poco chico — conviene ir en verano o primavera para estar afuera. Atención normal. Volverían por la pizza y unas birras: recomendable para cortar la semana con una cena al lado del río.",1,
12,El Patio de los Naranjos,Córdoba,Córdoba Capital,General Paz,"-31.415132920186572, -64.16666315228876",1,,Familiar,Cena,$$$,8.75,8.0,8.5,8.5,Un bodegón con preparación a la vista. La carta ofrece dos menús de tapeo que suelen cambiar cada dos meses — conviene ir de a dos y pedir uno de cada uno para probar todo y compartir. Lugar y atención muy cálidos. Comida muy rica.,1,
13,Ochre,Córdoba,Córdoba Capital,Zona norte,,,1,,Cena,$$$$,6.0,6.0,5.0,5.75,"Cuando se llamaba Ochre (ahora cambió de nombre): un lugar al que no volverían. Comida olvidable, atención medio pelo tirando a mala (complican la forma de pago), lugar sin nada que lo destaque. Precios completamente sobrevalorados — por esa misma plata se puede comer dos veces en cualquier otro lugar de la zona y mejor en todo.",1,
14,ES tostadores,Córdoba,Córdoba Capital,Zona norte,,,1,,Merienda,$$$$,8.75,8.5,8.5,8.63,"Un lugar para amantes del café. Fueron por la comida y el café terminó deslumbrando — todo marida perfecto, manejan muy bien los sabores. Comida espectacular, café muy rico, lugar y atención también muy bien. Para volver las veces que haga falta.",1,
15,La Mona museo-bar,Córdoba,Córdoba Capital,Zona norte,"-31.360175560265507, -64.23878873509646",,,Bar/Vinoteca,Cena,$$$,8.5,9.0,8.25,8.56,"Bar muy lindo para ir a tomar unos buenos tragos, probar unos lomitos mientras suena la música popular del cuartetero más grande del país. Comida y coctelería muy ricas. El lugar tiene una ambientación espectacular, con detalles por todos lados. Atención buena-normal.",1,
16,Chetapys,Córdoba,Córdoba Capital,Zona norte,"-31.39567315586968, -64.25361201975007",,,Bodegón,Almuerzo,$$$,8.5,7.5,7.5,8,"De los mejores lomitos de Córdoba, tal vez el mejor de la ciudad. El lugar parece (y es) de otra época: los platos y bandejas de chapa llevan a un tiempo donde el sabor importaba más que nada.",1,
17,De a deveras,Córdoba,Córdoba Capital,Zona norte,"-31.360877940133534, -64.23634087488428",,,Café/Confitería,Merienda,$$$,7.75,7.75,7.5,7.69,"Vale la pena, la comida parece mejor que la de otras cafeterías. La sucursal del Paseo de las Rosas es muy linda para ir un sábado por la mañana y desayunar al aire libre.",1,
18,Pizzería popular,Córdoba,Córdoba Capital,Zona norte,"-31.364742439987218, -64.23827694664567",,,Familiar,Cena,$$$,8.5,8.0,7.5,8.13,"Misma cadena que la de Gral Paz: pizza muy rica, gran variedad de opciones, recomendable pedir el borde relleno si lo ofrecen. Atención normal, cumple sin ser espectacular.",1,
19,Valdes,Córdoba,Córdoba Capital,Zona norte,"-31.353275444804627, -64.24950275044088",,,Familiar,Cena,$$$$,8.75,8.25,8.25,8.5,"El mejor lugar de mariscos de Córdoba. El salmón es una cosa de locos. Es caro, pero vale la pena considerando que están comiendo mariscos y pescado en el medio de la ciudad.",1,
20,Santa calma,Córdoba,Córdoba Capital,Parque Sarmiento,"-31.43158746595277, -64.17302147927175",,,Familiar,Almuerzo,$$$$,8.5,8.75,8.25,8.5,"El lugar es hermoso, la ubicación en el parque es espectacular. Recomendable ir y comer afuera en una tarde de verano o primavera.",1,
21,Abeja Negra,Córdoba,Córdoba Capital,Parque Sarmiento,"-31.433025378046725, -64.18035307741958",,,Familiar,Cena,$$$,8.0,8.0,8.0,8,"Cumple sin sorprender demasiado. Lugar lindo, bueno para ir de improviso: suele tener disponibilidad sin reserva y los precios son acordes. Suelen tener promo de cerveza, lo que lo hace recomendable para ir en grupo.",1,
22,El bosque,Córdoba,Córdoba Capital,Parque Sarmiento,"-31.430473545324883, -64.17680434030017",,,Familiar,Cena,$$$,8.0,8.0,8.0,8,"Igual que Abeja Negra: cumple sin sorprender demasiado. Lugar lindo, bueno para ir de improviso, con disponibilidad sin reserva y precios acordes.",1,
23,Pan Plano,Córdoba,Córdoba Capital,Jardín,"-31.450275104400546, -64.17647583509051",,,Familiar,Cena,$$$,8.0,8.0,8.0,8,"Igual que Abeja Negra y El bosque: cumple sin sorprender demasiado. Lugar lindo, bueno para ir de improviso, con disponibilidad sin reserva y precios acordes.",1,
24,Panadería Moreno,Córdoba,Córdoba Capital,Jardín,"-31.450644080252296, -64.17874997814823",,,Café/Confitería,Desayuno,$$,7.0,7.0,7.0,7,"Panadería de barrio que ofrece desayunos y meriendas. No es ""guau"", pero el menú cumple a un precio más que económico: tostadas normales, untables comunes y un café rico, con atención normal. No tiene nada que envidiarle a otros lugares de meriendas.",1,
25,Montagú,Córdoba,Córdoba Capital,Jardín,"-31.44886628545245, -64.18287405447381",,,Familiar,Cena,$$$$,8.75,7.0,7.5,8,"De los mejores lomitos de Córdoba, no falla nunca: muy rico y llenador. Pero es algo caro comparado con cualquier otro lomito de la ciudad.",1,
26,Le Marine,Córdoba,Córdoba Capital,Jardín,,,1,,Cena,$$$$,6.75,6.5,7.0,6.75,Cambió de nombre. La comida es muy normalita para lo caro que resultan los precios.,1,
27,Milá,Córdoba,Córdoba Capital,Jardín,"-31.451095517834396, -64.17736498364111",,,Familiar,Cena,$$$,6.0,7.5,7.5,6.75,"El lugar es lindo y atienden bien, pero la comida no tiene sabor — casi insípida, algo rarísimo. Por lejos la peor provoleta que probaron hasta ahora: sabor a nada.",1,
28,Glotón,Córdoba,Córdoba Capital,Jardín,,,1,,Cena,$$$$,7.0,7.5,7.0,7.13,Una experiencia demasiado chata para el precio. El local cerró hace poco — eso dice bastante.,1,
29,Galo wines,Córdoba,Córdoba Capital,Jardín,"-31.450746891154388, -64.17552784930012",,,Fancy,Cena,$$$$,8.75,9.0,9.0,8.88,"Visitado un día de los enamorados: tenían un menú especial de pasos, todo riquísimo (aunque algo cuestionable la vajilla). Superador a la comida fue la atención y el lugar: muy prolijo, ""fancy"", y el sistema de autoservicio del vino es bárbaro.",1,
30,Almazen,Córdoba,Córdoba Capital,Jardín,"-31.45104953577828, -64.17562499679762",,,Café/Confitería,Merienda,$$$,9.0,8.5,7.5,8.5,"Comida increíble, con una presentación tremenda. Para los fans del dulce, 100%.",1,
31,Maria antonieta,Córdoba,Córdoba Capital,Jardín,"-31.450781924606048, -64.17584802425066",,,Café/Confitería,Merienda,$$$,8.75,8.75,8.5,8.69,Café excelente y porciones abundantes.,1,
32,Shiok,Córdoba,Córdoba Capital,Jardín,"-31.450979566685337, -64.17683591149566",,,Café/Confitería,Merienda,$$$$,9.0,8.75,8.0,8.69,Las cookies están zarpadas. El café es exquisito.,1,
33,Marga Restaurante,Córdoba,Córdoba Capital,Jardín,"-31.44862826248671, -64.18319715168637",,,Bodegón,Cena,$$$,8.5,7.0,8.5,8.13,"Como ir a comer a la casa de unos tíos. Rica provoleta, quizás top 5. Las pastas son increíbles. Presentación muy linda y un sabor casero zarpado.",1,
34,Don Rogelio,Córdoba,Córdoba Capital,Rogelio Martinez,"-31.436752257235554, -64.17843544144213",,,Bodegón,Almuerzo,$$$,8.0,8.0,7.75,7.94,"Un clásico de la zona, ambiente familiar. Ideal para ir a comer al mediodía en otoño, en las mesas de afuera al sol. Comida rica pero no sorprende — cumple siempre.",1,
35,Tucson,Córdoba,Córdoba Capital,Rogelio Martinez,"-31.434727089437533, -64.1777588162829",,,Fancy,Cena,$$$$,8.75,8.0,7.5,8.25,"La comida es rica, pero no lo suficiente para el precio que tienen. ¿Está bueno? Sí. ¿Lo vale? No sé.",1,
36,El Celta,Córdoba,Córdoba Capital,Alta Córdoba,"-31.39848523069475, -64.1806306062579",,,Fancy,Almuerzo,$$$$,7.5,7.0,7.75,7.44,"Un poco quedado en el tiempo: es un clásico, pero se sintió viejo y algo arcaico. La comida está buena sin deslumbrar, y el precio no se corresponde.",1,
37,Perón Perón,Córdoba,Córdoba Capital,Alta Córdoba,"-31.391180266966174, -64.18303335076574",,,Bodegón,Cena,$$$,7.5,6.75,6.5,7.06,"Normal y accesible. La comida no es guau, pero las porciones son generosas para el precio. El lugar está un poco descuidado, y la atención estuvo complicada.",1,
38,Primo,Córdoba,Córdoba Capital,Alta Córdoba,"-31.392117898465496, -64.1859956062584",,,Familiar,Cena,$$$,7.75,7.5,7.5,7.63,"La tabla es completa y llenadora. Todo tiene medio el mismo sabor, pero va. Los langostinos y camarones son lo mejor para pedir.",1,
39,Burgueses,Córdoba,Córdoba Capital,Alta Córdoba,"-31.401002936834278, -64.17669386392974",1,,Comida rápida,Cena,$$,8.75,6.0,8.0,7.88,"Es para ir y retirar. Las hamburguesas están buenísimas, y las papas están bárbaras. Súper recomendado.",1,
40,Il Forno di Marco,Córdoba,Córdoba Capital,Alta Córdoba,"-31.395044638442084, -64.17980415043812",,,Bodegón,Cena,$$,8.75,7.75,8.5,8.44,"Un bodegón de pizzas. Atención excelente. La pizza es increíble, de las mejores que comieron en relación precio-calidad.",1,
43,Passage du café,Córdoba,Córdoba Capital,Güemes,"-31.41861262402143, -64.19121523509251",,,Café/Confitería,Merienda,$$$$,9.0,8.75,8.75,8.88,"El lugar es increíble, la atención lo mismo. Los laminados son bárbaros y el café está zarpado.",1,
45,Marvic,Córdoba,Córdoba Capital,Alberdi,"-31.403727772367997, -64.21876930625753",,,Café/Confitería,Merienda,$$,8.75,8.0,7.75,8.31,"Un clásico cordobés, intacto desde que abrió. Se siente noventoso, pero no deja de estar bueno. Tener la plaza al frente hace que siempre esté concurrido, aunque vale la pena ir. Comida muy rica, súper dulce y abundante.",1,
46,Clover Up,Córdoba,Villa Carlos Paz,,"-31.4200660614753, -64.49597650810847",1,,Café/Confitería,Merienda,$$$,8.0,9.0,8.5,8.38,"El lugar se lleva todos los aplausos: piso 13 de una torre, con balcones y vista a todo Carlos Paz. La merienda tiene muy buena relación precio-calidad, y la atención es muy buena. Recomiendan reservar.",1,
47,Terra Firma,Córdoba,Villa Carlos Paz,,"-31.417003699569378, -64.50457244858472",1,,Café/Confitería,Merienda,$$$$,8.5,8.75,8.0,8.44,"El lugar está muy bueno, te sentís medio en ""un castillo"". Comida abundante y sabrosa. La atención tiene sus días, pero en general bien. Recomiendan reservar.",1,
48,Bros Comedor,Córdoba,Córdoba Capital,Centro,"-31.414622850851593, -64.19213757742082",1,,Fancy,Cena,$$$$,9.25,8.75,9.0,9.06,"La comida, por Dios. ¿Es caro? Sí. ¿Vale la pena? Cada centavo.",1,
49,Alcorta,Córdoba,Córdoba Capital,Centro,,,1,,Cena,$$,7.0,8.5,8.5,7.75,"Era un clásico. No sabe si la cocina tuvo un mal día, pero cree que hace un mejor asado en su casa. Las porciones eran muy abundantes y súper económicas. El local cerró — se explica solo.",1,
50,Marmol,Córdoba,Córdoba Capital,Centro,,,1,,Merienda,$$$,8.5,8.75,8.5,8.56,"El lugar es muy lindo, lo mejor que tiene es la ubicación. Recomendable ir un sábado por la mañana y desayunar ahí.",1,
51,Nakama,Córdoba,Córdoba Capital,Centro,"-31.41774553352594, -64.1908291774206",1,,Fancy,Cena,$$$,9.0,9.0,8.75,8.94,"Les encantó. Comida excelente, y la ambientación del lugar también. Recomiendan reservar con una semana de anticipación mínimo.",1,
52,Bar á Vins,Córdoba,Córdoba Capital,Centro,"-31.41852955847623, -64.19260165043656",,,Fancy,Cena,$$$,8.5,8.0,8.5,8.38,"Visitado un día de los enamorados: tenían un menú de pasos muy rico. El lugar es chico, pero no por eso deja de ser lindo.",1,
53,De a deveras,Córdoba,Córdoba Capital,Nueva Córdoba,"-31.4246063359031, -64.18170873509217",,,Café/Confitería,Desayuno,$$$,8.5,8.0,8.0,8.25,"El lugar suele estar concurrido, por lo que las mesas no abundan. Comida muy rica y atención acorde.",1,
54,Lomitería popular,Córdoba,Córdoba Capital,Nueva Córdoba,"-31.423814376262808, -64.18679829686972",,,Familiar,Cena,$$$,7.5,8.0,7.75,7.69,Lindo lugar en una zona muy concurrida. La comida y las porciones acordes al precio. Bien.,1,
55,Hoppiness,Córdoba,Córdoba Capital,Manantiales,"-31.455004073054003, -64.23758463509013",1,,Comida rápida,Cena,$$$,8.75,8.5,8.5,8.63,"El mejor lugar de hamburguesas hasta ahora — aunque este último tiempo sufrió ""shrinkflation"", vale la pena seguir yendo. Las hamburguesas son un espectáculo, la birra muy rica y la atención en general no falla.",4-5,
56,Argumento,Córdoba,Córdoba Capital,Country Jockey Club,"-31.459213434317302, -64.18276073694177",,,Familiar,Almuerzo,$$$,8.0,8.5,8.0,8.13,,,
57,La sifonda,Córdoba,Córdoba Capital,Tejas del Sur,"-31.461838291508492, -64.18738003508976",,,Familiar,Almuerzo,$$$,7.75,8.0,7.75,7.81,"Meh, normal. Una experiencia chata en líneas generales. No destacó en nada, pero aún así cumple.",1,
58,El fogón de los arrieros,Córdoba,Córdoba Capital,Tejas del Sur,,,1,,Cena,$$$$,7.0,8.0,6.5,7.13,"Cambió de nombre, ya no funciona como El fogón de los arrieros. La comida es medio pelo para el precio. Atención bastante mala (fueron una noche con pocas mesas y no atendían ni de casualidad). El lugar es lindo, pero solo eso. Se entiende que haya cerrado.",1,
59,Urban Bakery,Córdoba,Córdoba Capital,Nuevocentro Shopping,,,1,,Merienda,$$$$,8.0,8.0,7.5,7.88,"Lindo lugar, la comida muy ""aesthetic"" y rica. Un poco caro en relación a lo que ofrecen, pero se entiende e igual funciona.",1,
60,La Baguala,Córdoba,La Cumbre,,"-30.994717139403235, -64.46192732162861",1,,Familiar,Almuerzo,$$$,9.0,9.0,9.0,9,"Excelente lugar. La comida un espectáculo, sabores y presentación muy bien manejados. Personal muy atento y rápido para servir. Recomendado 100%.",1,
61,Mirá Silvina,Córdoba,Salsipuedes,,"-31.155371872273026, -64.28703697743808",1,,Familiar,Almuerzo,$$$,8.75,9.0,9.0,8.88,"Hermoso lugar. Ideal para ir en primavera-verano a comer al mediodía bajo la sombra en el patio. Las vistas son hermosas, la atención muy prolija y la comida sabrosa y llenadora.",5+,
62,Parador El Cuadrado,Córdoba,El Cuadrado,,"-31.121147580518482, -64.33323396394833",1,,Familiar,Almuerzo,$$$,8.5,8.75,8.5,8.56,"De los mejores lomitos de Córdoba. El lugar es hermoso, como todo el Camino del Cuadrado en general. Recomendable comer en el patio bajo la sombra. Comida buena, porciones acordes al precio y atención bien también.",1,
63,A la vista,Córdoba,El Cuadrado,,"-31.154813675744624, -64.31044177929007",1,,Familiar,Almuerzo,$$$,8.75,8.5,9.25,8.81,"Un lugar familiar: tanto el ambiente como la atención lo hacen sentir como tal. La comida 100% casera es bárbara, desde la entrada hasta los postres. Tienen menú fijo libre para repetir la cantidad de veces que quieras el plato que gustes. Un éxito.",1,
64,Pan Plano,Córdoba,Villa Allende,,,,1,Familiar,Cena,$$$,8.0,8.0,7.5,7.88,"Misma cadena que Pizzería popular y Pan Plano (Jardín): cumple sin sorprender demasiado, un lugar lindo y accesible.",1,
65,Macadam,Córdoba,Colonia Caroya,,,,1,Familiar,Almuerzo,$$$,8.25,8.25,8.0,8.19,Lindo lugar de ambiente familiar.,1,
66,La Vaca,Córdoba,Santa Rosa de Calamuchita,,"-32.069249948665025, -64.53698553504886",,,Familiar,Almuerzo,$$$,7.0,7.0,6.5,6.88,"Zafa. No es guau, pero cumple a un precio medianamente acorde a la comida. Ni muy muy ni tan tan.",1,
67,Kiddo,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.58676465374193, -58.43259132323214",1,,Comida rápida,Cena,$$$$,9.5,8.0,8.5,8.88,"Sucursal de Núñez. No es para comer en el local, sino retirar y comer en casa. La fila demora 35-40 minutos, pero desde que hacés el pedido hasta que lo recibís no pasan ni 2 minutos — gran servicio. Las hamburguesas son las más ricas que probó, las papas están bárbaras y todo el branding del local es buenísimo. Volvería todas las veces que pueda. Es caro para ser una hamburguesa, pero vale la pena.",1,
68,Niño gordo,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.58626965258456, -58.429005421380175",1,,Fancy,Cena,$$$$,9.5,9.0,9.25,9.31,"Por lejos el mejor lugar en el que ha comido. Los sabores no tienen comparación — no por nada tiene 3 estrellas Michelin. Por supuesto que es carísimo, pero vale cada centavo. La experiencia es sublime, al primer bocado ya se cae la jeta al piso.",1,3 estrellas Michelin
69,Confitería La Ideal,Buenos Aires,Ciudad de Buenos Aires,Centro,"-34.603733524303834, -58.37953143487093",1,,Café/Confitería,Desayuno,$$$$,8.75,9.0,8.75,8.81,"Un lugar precioso e icónico de Buenos Aires. Es caro, pero las porciones son muy abundantes, por lo que recomiendan pedir para compartir.",1,
70,Banchero,Buenos Aires,Ciudad de Buenos Aires,Centro,"-34.60391210218463, -58.3851100897051",,,Comida rápida,Almuerzo,$$$,8.0,8.0,7.75,7.94,"Rica pizza porteña. Quizás no la mejor, pero es llenadora y sabrosa. Maridaje con cerveza recomendado.",1,
71,Las Cuartetas,Buenos Aires,Ciudad de Buenos Aires,Centro,"-34.603477016451926, -58.3786475790509",1,,Comida rápida,Almuerzo,$$$,9.0,6.5,6.5,7.75,"En su opinión, la mejor pizzería porteña. La fugazzeta es increíble, nunca probó algo así. El local no es vistoso ni la atención amistosa, pero uno va a estos lugares por la comida — y ahí no falla, sorprende y supera las expectativas. 100% recomendado.",1,
72,Cuervo Café,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.590111070673416, -58.425806761855995",,,Café/Confitería,Desayuno,$$$,7.75,7.75,8.0,7.81,"Lindo lugar, la comida bien y el café muy bueno. Esperaba más, pero sirve.",1,
73,La Fernetería,Buenos Aires,Ciudad de Buenos Aires,,"-34.583318582216926, -58.39252471767649",,,Familiar,Almuerzo,$$$,8.0,8.25,8.0,8.06,"El lugar es lindo y está bien ambientado. La atención es buena, y la comida, si bien no es ""guau"", es abundante y rica — suele tener ofertas de menú ejecutivo al mediodía. Bien.",1,
74,Resto - Museo Eva Perón,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.580495639085285, -58.41489711952861",,,Bodegón,Almuerzo,$$,7.75,8.25,7.75,7.88,"Una hermosa casona; estar integrado al museo hace de este lugar una experiencia muy linda e interesante. El menú es accesible y abundante. Faltó un poco de sabor a la comida, algo ""chata"" en general, pero cumple y en relación precio-calidad supera.",1,
75,La Parolaccia,Buenos Aires,Ciudad de Buenos Aires,Recoleta,"-34.58793359136261, -58.39105444836416",1,,Fancy,Almuerzo,$$$,8.75,9.0,9.0,8.88,"Cayeron de rebote en el local y se llevaron una gran experiencia. La atención es increíble, y la comida no se queda atrás.",1,
76,Cofi Jaus,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.5840191484073, -58.434470548364395",,,Café/Confitería,Desayuno,$$$,8.0,8.0,8.0,8,Igual que Maria antonieta: café excelente y porciones abundantes.,1,
77,Güerrin,Buenos Aires,Ciudad de Buenos Aires,Centro,"-34.60373231434664, -58.386003463706935",,,Comida rápida,Almuerzo,$$$,8.25,8.0,7.75,8.06,"Sin dudas la pizzería más icónica de Buenos Aires. Pagaron el servicio de mesa, pero recomiendan pedir pizza al corte en el horno de la entrada para una experiencia más típica porteña. La pizza está muy buena, con una cantidad absurda de queso, aunque pareció cara para el producto que ofrecen. La atención no es mala, pero se siente que apuran a comer para rotar mesas.",1,
78,Ninina,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.59109102830304, -58.428681507887845",,,Café/Confitería,Desayuno,$$$,8.5,8.75,8.5,8.56,"Muy lindo lugar, se lo ve limpio y ordenado. La atención es buena. La comida es rica y el café excelente.",1,
79,Casa Kim Frito Chino,Buenos Aires,Ciudad de Buenos Aires,Barrio chino,"-34.55604051004257, -58.45142185021842",,,Familiar,Almuerzo,$$$,7.5,7.5,7.0,7.38,"Meh, cumple.",1,
80,Rita,Buenos Aires,Ciudad de Buenos Aires,Palermo,"-34.58996402888197, -58.428346607887875",,,Café/Confitería,Desayuno,$$$,8.5,8.75,8.5,8.56,"Igual que Ninina: muy lindo lugar, se lo ve limpio y ordenado. La atención es buena. La comida es rica y el café excelente.",1,
81,Il Ballo del Mattone,Buenos Aires,Ciudad de Buenos Aires,Palermo Hollywood,"-34.58167507473957, -58.438122779052556",,,Bodegón,Almuerzo,$$$$,8.75,8.0,8.25,8.44,"El lugar tiene mucho estilo, una mezcla de bodegón con bar bohemio que funciona. La comida es bárbara, aunque resultó un tanto costosa en relación al tamaño de la porción y los sabores.",1,
82,Pituco,Córdoba,Córdoba Capital,Nueva Córdoba,"-31.426281353520913, -64.18883836392813",,,Fancy,Cena,$$$,8.5,8.75,8.5,8.56,"Como el nombre indica, es muy ""pituco"" todo. Prolijito, rico y sencillo. La comida es muy rica, de carta acotada pero cumple. Fuerte al medio.",1,
